Name,Info,Ratings,Highly_rated_for,Critically_rated_for,Number_of_Voters
Fleet Management,Ports & Shipping | 201-500 Employees | 30 years old | Wong Chuk Hang +19 more,3.7,Job Security,Work Satisfaction,151
EGIS,Power | 10k-50k Employees (Global) | 54 years old | Gurgaon +46 more,4.2,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,151
Tirupati Medicare,Pharma | 1k-5k Employees | 19 years old | Paonta Sahib +13 more,4.2,"Job Security, Company Culture, Work Satisfaction",,151
Gallantt Ispat,Iron & Steel | 1k-5k Employees | Public | 19 years old | Gorakhpur +17 more,4.1,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,151
Career Launcher,Education & Training | 1k-5k Employees | 28 years old | New Delhi +35 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",151
OM Careers,Recruitment | 501-1k Employees | 16 years old | Ludhiana +3 more,2.7,,"Work Life Balance, Job Security, Company Culture",151
Umedica Laboratories,Pharma | 51-200 Employees | 42 years old | Mumbai +8 more,3.4,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",151
Hyderabad Metro Rail,Railways | 5k-10k Employees | 14 years old | Hyderabad  +5 more,4.1,"Job Security, Skill Development / Learning, Work Satisfaction",,151
Kaveri Seed Company,1k-5k Employees | 48 years old | Hyderabad/Secunderabad +41 more,4.3,"Work Life Balance, Job Security, Work Satisfaction",,151
Green Park Hotels,Hospitality | 1k-5k Employees | 33 years old | Hyderabad/Secunderabad +14 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,151
Edunext Technologies,EdTech | 201-500 Employees | 12 years old | Noida +12 more,4.3,"Skill Development / Learning, Work Satisfaction, Company Culture",,151
Odisha Power Generation Corporation,Oil & Gas | 1k-5k Employees | Public | 40 years old | Bhubaneswar +9 more,3.9,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,151
Egniol Services Private Limited,Legal | 501-1k Employees | Startup | 6 years old | Ahmedabad +5 more,4,"Work Life Balance, Salary & Benefits, Promotions / Appraisal",,151
Turito,EdTech | 201-500 Employees | Startup | Hyderabad +4 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Job Security",151
VISTRA INTERNATIONAL EXPANSION,Management Consulting | 501-1k Employees | 32 years old | Boston +4 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",151
Patra India,Visakhapatnam +8 more,3.7,Job Security,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",151
Ivy Mobility Solutions,Software Product | 501-1k Employees | 22 years old | Marina Blvd +10 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",151
Renewsys India,Power | 201-500 Employees | 13 years old | Mumbai +13 more,4.1,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",151
Health Insurance TPA of India,Insurance | 51-200 Employees | 11 years old | Noida +15 more,4,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",151
Tatvasoft,IT Services & Consulting | 1k-5k Employees | 23 years old | Ahmedabad +2 more,3.9,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",151
Siemens PLM Software,Industrial Automation | 1k-5k Employees | 27 years old | Plano +8 more,4.2,"Work Life Balance, Job Security, Company Culture",,151
Ivy Mobility Solutions,Software Product | 501-1k Employees | 22 years old | Marina Blvd +10 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",151
Jagsonpal Pharmaceuticals,Pharma | 1k-5k Employees | Public | 46 years old | Gurugram +30 more,3.6,,,151
Renewsys India,Power | 201-500 Employees | 13 years old | Mumbai +13 more,4.1,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",151
Black Box Corporation,IT Services & Consulting | 1k-5k Employees | Fortune India 500 | 48 years old | Lawrence +16 more,3.2,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",151
Accurate Engineering Company,Industrial Machinery | 51-200 Employees | 61 years old | Pune +23 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Job Security",151
TerraCIS Technologies,IT Services & Consulting | 1k-5k Employees | Public | 31 years old | Gurgaon/Gurugram +34 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",151
Axis Sales,Financial Services | 11-50 Employees | 18 years old | Pune +64 more,4.2,Skill Development / Learning,,145
Z1 Tech,Marketing & Advertising | 51-200 Employees | Startup | 10 years old | Seattle +2 more,4.2,"Salary & Benefits, Company Culture, Skill Development / Learning",,154
Andhra Pradesh State Skill Developmentcorporation,Non-Profit | 201-500 Employees | 10 years old | Vijayawada +25 more,3.9,"Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Job Security, Salary & Benefits",150
IIT Delhi,Education & Training | 1k-5k Employees (Global) | 63 years old | New Delhi +9 more,4.3,"Company Culture, Skill Development / Learning, Work Life Balance",,150
Royal Bank of Scotland International,Banking | 201-500 Employees | 297 years old | Edinburgh +8 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,150
Khanna Paper Mills,Pulp & Paper | 1k-5k Employees | 39 years old | Gurgaon/Gurugram +12 more,4.2,"Job Security, Work Satisfaction, Company Culture",,150
Narayana Junior College,Education & Training | 10k-50k Employees | 45 years old | Hyderabad +26 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",150
Volksoft Technologies,Software Product | 51-200 Employees | 22 years old | secunderabad +2 more,4.4,"Skill Development / Learning, Work Satisfaction, Company Culture",,150
Kalyan Toll Infrastructure,Engineering & Construction | 51-200 Employees | 22 years old | Indore +27 more,4.4,"Skill Development / Learning, Company Culture, Work Satisfaction",,150
Izmo,IT Services & Consulting | 51-200 Employees | Public | 29 years old | Bengaluru +5 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",150
Orchid Pharma,Pharma | 1k-5k Employees | Public | 32 years old | Chennai +5 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",150
Narayana Junior College,Education & Training | 10k-50k Employees | 45 years old | Hyderabad +26 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",150
Volksoft Technologies,Software Product | 51-200 Employees | 22 years old | secunderabad +2 more,4.4,"Skill Development / Learning, Work Satisfaction, Company Culture",,150
Parsons International,IT Services & Consulting | 1-10 Employees | 80 years old | Centreville +14 more,4.6,"Skill Development / Learning, Work Satisfaction, Company Culture",,150
Linfox Logistics,Urban Transport | 51-200 Employees | 68 years old | Mumbai +28 more,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,150
Kalyan Toll Infrastructure,Engineering & Construction | 51-200 Employees | 22 years old | Indore +27 more,4.4,"Skill Development / Learning, Company Culture, Work Satisfaction",,150
Orchid Pharma,Pharma | 1k-5k Employees | Public | 32 years old | Chennai +5 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",150
Expertise Contracting Company,Industrial Machinery | 1k-5k Employees | 25 years old | Al Jubail +9 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",150
Mold-Tek Technologies,IT Services & Consulting | 1k-5k Employees | Public | 38 years old | Hyderabad/Secunderabad +6 more,3.6,,"Salary & Benefits, Work Life Balance, Promotions / Appraisal",150
GENWORKS Health,Healthcare | 201-500 Employees | 9 years old | Bengaluru +32 more,3.1,,"Promotions / Appraisal, Work Satisfaction, Job Security",150
Balasore Alloys,Metals & Mining | 501-1k Employees | Public | 40 years old | Balasore +12 more,3.9,"Company Culture, Skill Development / Learning","Job Security, Promotions / Appraisal",150
Jitm Skills,Education & Training | 51-200 Employees | 11 years old | Delhi/NCR +33 more,3.8,Skill Development / Learning,"Promotions / Appraisal, Job Security, Salary & Benefits",150
IIT Delhi,Education & Training | 1k-5k Employees (Global) | 63 years old | New Delhi +9 more,4.3,"Company Culture, Skill Development / Learning, Work Life Balance",,150
Royal Bank of Scotland International,Banking | 201-500 Employees | 297 years old | Edinburgh +8 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,150
Steelman Telecom,501-1k Employees (Global) | 38 years old | Kolkata +36 more,4,,"Promotions / Appraisal, Job Security, Salary & Benefits",150
Vinculum Solutions,IT Services & Consulting | 201-500 Employees | 17 years old | Noida +4 more,3.1,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",150
The Indian Express,Printing & Publishing | 1k-5k Employees | 92 years old | Noida +23 more,4,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",150
Net Access India,IT Services & Consulting | 201-500 Employees | Public | 27 years old | Chennai +25 more,4,"Job Security, Skill Development / Learning, Company Culture",,150
Keolis Hyderabad Metro,Urban Transport | 1k-5k Employees | MNC | Hyderabad / Secunderabad +2 more,4,Job Security,"Promotions / Appraisal, Salary & Benefits",150
Izmo,IT Services & Consulting | 51-200 Employees | Public | 29 years old | Bengaluru +5 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",150
Altum Credo Home Finance,NBFC | 501-1k Employees | 8 years old | Pune +38 more,3.8,"Skill Development / Learning, Salary & Benefits",,150
Mobile Premier League,Gaming | 1k-5k Employees | Indian Unicorn | 6 years old | Bangalore/Bengaluru +7 more,3.4,,"Job Security, Promotions / Appraisal, Skill Development / Learning",150
Shalimar Corp,Real Estate | 501-1k Employees | Lucknow +8 more,4.1,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,150
Precision Camshafts,Auto Components | 201-500 Employees | Public | 32 years old | Solapur +4 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",150
Pace Power Systems,Electrical Equipment | 501-1k Employees | 75 years old | Bangalore/Bengaluru +38 more,3.4,,"Promotions / Appraisal, Company Culture, Salary & Benefits",150
TRIGO Group,Auto Components | 11-50 Employees | 27 years old | Tel Aviv +25 more,2.9,,"Promotions / Appraisal, Salary & Benefits, Job Security",150
Epson,IT Services & Consulting | 201-500 Employees | 82 years old | Suwa +44 more,4.3,"Company Culture, Skill Development / Learning, Work Life Balance",,150
Shivalaya Construction,Engineering & Construction | 51-200 Employees | 27 years old | Rohtak +28 more,4.1,"Salary & Benefits, Skill Development / Learning",,150
Orion Security Solutions,Law Enforcement & Security | 51-200 Employees | 19 years old | Delhi/NCR +32 more,3.2,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",150
Sami-Sabinsa Group,Pharma | 501-1k Employees | Public | 27 years old | Bangalore/Bengaluru +8 more,3.1,,"Promotions / Appraisal, Company Culture, Skill Development / Learning",150
Texas Instruments,Semiconductors | 1k-5k Employees | Forbes Global 2000 | 73 years old | Dallas +7 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,150
UNext,EdTech | 501-1k Employees | Bangalore +9 more,3,,"Job Security, Work Satisfaction, Promotions / Appraisal",150
Ultra Corpotech,Industrial Machinery | 201-500 Employees | 33 years old | Pune +1 more,4,Job Security,Promotions / Appraisal,150
HMSHost,FMCG | 201-500 Employees | 127 years old | Bethesda +10 more,3.8,,"Promotions / Appraisal, Work Satisfaction, Company Culture",150
Teerthanker Mahaveer University,Education & Training | 1k-5k Employees | 16 years old | Moradabad +8 more,3.5,,"Company Culture, Work Satisfaction, Promotions / Appraisal",150
Medecins Sans Frontieres,Non-Profit | 51-200 Employees | 53 years old | Geneva +26 more,4.2,,"Job Security, Promotions / Appraisal",146
KK Spun Pipes,Industrial Machinery | 201-500 Employees | 47 years old | Faridabad +17 more,3.2,,"Salary & Benefits, Promotions / Appraisal, Job Security",143
Mayfair Hotels & Resorts,Hospitality | 501-1k Employees | Public | 42 years old | Bhubaneswar +12 more,4.2,"Job Security, Work Life Balance, Work Satisfaction",,149
Carrefour,Retail | 201-500 Employees | Forbes Global 2000 | 65 years old | Massy +22 more,3.8,"Work Life Balance, Job Security, Skill Development / Learning",,149
Mitsubishi Heavy Industries,Industrial Machinery | 51-200 Employees | Forbes Global 2000 | 140 years old | Tokyo +27 more,4,,"Promotions / Appraisal, Skill Development / Learning",149
Cholayil Private Limited,FMCG | 201-500 Employees | 55 years old | Chennai +24 more,4.2,"Salary & Benefits, Work Life Balance",Promotions / Appraisal,149
IREO,Real Estate | 501-1k Employees | 20 years old | Gurgaon/Gurugram +9 more,4,"Work Life Balance, Company Culture, Job Security",,149
cFIRST,Recruitment | 201-500 Employees | 18 years old | Cincinnati +6 more,4.2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,149
Heavy Engineering Corporation,Engineering & Construction | 1k-5k Employees | 66 years old | Ranchi +6 more,3.6,Work Life Balance,"Salary & Benefits, Company Culture",149
BillDesk,FinTech | 201-500 Employees (Global) | Public | 24 years old | Mumbai +14 more,3.3,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",149
RAXA,Law Enforcement & Security | 201-500 Employees | 19 years old | New Delhi +18 more,4.2,"Skill Development / Learning, Job Security, Work Satisfaction",,149
Epitome Components,Electrical Equipment | 51-200 Employees | 30 years old | Ahmednagar +9 more,3.2,,"Company Culture, Promotions / Appraisal, Salary & Benefits",149
Magma Housing Finance,Financial Services | 5k-10k Employees | Public | 35 years old | Kolkata +59 more,4.4,"Skill Development / Learning, Job Security, Work Satisfaction",,149
Igarashi Motors,Auto Components | 501-1k Employees | Public | 32 years old | Chennai +7 more,4.1,"Job Security, Skill Development / Learning, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",149
Don Bosco Tech Society,Non-Profit | 201-500 Employees | 18 years old | New Delhi +48 more,4.3,"Work Life Balance, Skill Development / Learning, Company Culture",,149
CFlo,Industrial Machinery | 51-200 Employees | 18 years old | Kolkata +7 more,4.5,"Job Security, Company Culture, Work Life Balance",,149
Coastal Marine Construction & Engineering,Engineering & Construction | 501-1k Employees | 29 years old | Mira Bhayander +22 more,4.2,"Job Security, Salary & Benefits, Work Satisfaction",,149
Synthite Industries,Food Processing | 1k-5k Employees | 52 years old | Ernakulam +15 more,3.8,,Promotions / Appraisal,149
Wibmo,FinTech | 51-200 Employees | 25 years old | Bangalore +5 more,3.1,,"Promotions / Appraisal, Job Security, Company Culture",149
CLR Facility Services,Facility Management Services | 1k-5k Employees | 22 years old | Pune +30 more,4.1,"Work Satisfaction, Company Culture, Skill Development / Learning",,149
